chroma,brightness,sigma,detail,step,selected,unsupported_reason,baseline_loss,best_loss,selected_loss,max_noise_ratio,max_clean_error,max_bias,feasible_candidates
True,0.3764705955982208,0.012000000104308128,50.0,2.0,100,,0.9999988646052914,0.03316370702281799,0.03316370702281799,0.11898392715623247,0.0,0.0,25
True,0.3764705955982208,0.01600000075995922,50.0,2.0,100,,0.9999993901270074,0.029961301782600203,0.029961301782600203,0.11868861716963379,0.0,0.0,25
True,0.3764705955982208,0.03200000151991844,50.0,2.0,100,,0.9999998605756151,0.06375213589839274,0.06375213589839274,0.18197426950838289,0.0,0.0,25
True,0.3764705955982208,0.06400000303983688,50.0,2.0,100,,0.9999999562964936,0.1757922156940217,0.1757922156940217,0.4431280913169055,0.0,0.0,25
True,0.3764705955982208,0.09600000083446503,50.0,2.0,100,,0.9999999744661103,0.32127892606833713,0.32127892606833713,0.5893196958939136,0.0,0.0,25
True,0.3764705955982208,0.12800000607967377,50.0,2.0,100,,0.9999999823319309,0.4576685386277255,0.4576685386277255,0.6972318253119335,0.0,0.0,25
True,0.3764705955982208,0.0010000000474974513,50.0,3.0,20,,0.9998253039098205,0.7064957040765811,0.7407405815082102,0.8176977613369412,7.62939453125e-06,0.15832263946533204,37
True,0.3764705955982208,0.0020000000949949026,50.0,3.0,45,,0.9999563288719409,0.4376356993721741,0.45541247741280283,0.5847841461223335,7.62939453125e-06,0.28387861251831054,29
True,0.3764705955982208,0.004000000189989805,50.0,3.0,74,,0.9999891225997142,0.1939161621954536,0.20237298252550173,0.3055989261650502,7.62939453125e-06,0.49663707733154294,33
True,0.3764705955982208,0.00800000037997961,50.0,3.0,100,,0.999997337865931,0.06164553433916341,0.06164553433916341,0.12244529110564048,0.0,0.0,25
True,0.3764705955982208,0.012000000104308128,50.0,3.0,100,,0.9999988646052914,0.035902887208934454,0.035902887208934454,0.1204738928285915,0.0,0.0,25
True,0.3764705955982208,0.01600000075995922,50.0,3.0,100,,0.9999993901270074,0.03209263165562008,0.03209263165562008,0.11761895842102489,0.0,0.0,25
True,0.3764705955982208,0.03200000151991844,50.0,3.0,100,,0.9999998605756151,0.06379247858303415,0.06379247858303415,0.17617892167419796,0.0,0.0,25
True,0.3764705955982208,0.06400000303983688,50.0,3.0,100,,0.9999999562964936,0.17632912485653654,0.17632912485653654,0.41487389848941714,0.0,0.0,25
True,0.3764705955982208,0.09600000083446503,50.0,3.0,100,,0.9999999744661103,0.3255454824895856,0.3255454824895856,0.5877939319117974,0.0,0.0,25
True,0.3764705955982208,0.12800000607967377,50.0,3.0,100,,0.9999999823319309,0.45966916246625744,0.45966916246625744,0.7008970029565446,0.0,0.0,25
True,0.3764705955982208,0.0010000000474974513,50.0,4.0,15,,0.9998253039098205,0.7742988983802574,0.8065215099200606,0.8640945043727166,7.62939453125e-06,0.17207672119140624,37
